microtrait_hmm-name	microtrait_hmm-dbxref_kegg	microtrait_hmm-dbxref_ec	microtrait_hmm-dbxref_TC	microtrait_hmm-description	microtrait_hmm-notes	microtrait_hmm-dbxref_kegg_score	microtrait_hmm-dbxref_kegg_fscore	microtrait_hmm-dbxref_kegg_tpr	microtrait_hmm-dbxref_kegg_tnr	microtrait_hmm-dbxref_kegg_fpr	microtrait_hmm-dbxref_kegg_fnr	microtrait_hmm-dbxref_kegg_accuracy
arg1	K23055	NA	3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system substrate-binding protein	NA	330.9	0.972	0.946	1	0	0.05366	1
arg2	K23056	NA	3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system permease protein	NA	288.5	0.98	0.9661	1	1.26e-07	0.0339	1
arg3	K23057	NA	3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system permease protein	NA	315.4	0.97	0.94083	1	0	0.05917	1
arg4	K23058	7.4.2.1	3.A.1.3.23	lysine/arginine/ornithine/histidine/octopine transport system ATP-binding protein [EC:7.4.2.1]	NA	448.6	0.974	0.95	1	0	0.05	1
argT	K10013	NA	3.A.1.3.11_O50181;3.A.1.3.1_P09551;3.A.1.3.29_P09551;3.A.1.3.29_P0AEU0	lysine/arginine/ornithine transport system substrate-binding protein	NA	392.1	0.788171	0.72716	1	1.17e-05	0.27284	1
arnE	K12962	NA	2.A.7.22.1_Q47377	undecaprenyl phosphate-alpha-L-ara4N flippase subunit ArnE	NA	81.9	0.989498	0.97921	1	0	0.02079	1
arsB1	K03893	NA	2.A.45.1;3.A.4.1	arsenical pump membrane protein	NA	80.6	0.996615	0.995267	1	3.78e-07	0.00473	0.999999
arsB2	K03325	NA	2.A.59	arsenite transporter, ACR3 family	NA	67.7	0.996465	0.993492	1	1.26e-07	0.00651	0.999998
artJ	K09996	NA	3.A.1.3.3_P30860	arginine transport system substrate-binding protein	NA	368	0.714754	0.559	1	3.78e-07	0.44103	1
artI	K09997	NA	3.A.1.3.3_P30859;3.A.1.3.3_P30860	arginine transport system substrate-binding protein	NA	383.6	0.861439	0.7566	1	0	0.2434	1
artM	K09998	NA	3.A.1.3.3_P0AE30	arginine transport system permease protein	NA	254.4	0.997015	0.99405	1	0	0.00595	1
artQ1	K09999	NA	3.A.1.3.3_P0AE34	arginine transport system permease protein	NA	254.1	0.991045	0.98225	1	0	0.01775	1
artP1	K10000	3.6.3.-	3.A.1.3.3_P0AAF6	arginine transport system ATP-binding protein [EC:3.6.3.-]	NA	336.3	0.997009	0.994	1	0	0.00596	1
artQ2	K17077	NA	3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transport system permease protein	NA	252.3	0.862676	0.8203	1	9.19e-06	0.17969	0.999971
artP2	K23059	NA	3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transporter system substrate-binding protein	NA	234.2	0.405678	0.84866	1	0.000153	0.15134	1
artR	K23060	7.4.2.1	3.A.1.3.15;3.A.1.3.27	arginine/lysine/histidine transport system ATP-binding protein [EC:7.4.2.1]	NA	391.3	0.737999	0.76134	1	3.18e-05	0.23866	0.999943
ascEIIB	K02752	2.7.1.69	NA	PTS system, arbutin-, cellobiose-, and salicin-specific IIB component [EC:2.7.1.69]	NA	553.8	0.991	0.9831	1	0	0.01695	1
ascEIIC	K02753	NA	NA	PTS system, arbutin-, cellobiose-, and salicin-specific IIC component	NA	802.7	0.989	0.9788	1	0	0.02119	1
atoE	K02106	NA	2.A.73.1.1_P76460	short-chain fatty acids transporter	NA	77.9	0.998808	0.99881	1	1.26e-07	0.00119	1
attA1	K11080	NA	3.A.1.11.3	mannopine transport system ATP-binding protein	NA	485	0.679	0.5143	1	0	0.486	1
attB	K11078	NA	3.A.1.11.3	mannopine transport system permease protein	NA	352.8	1	1	1	0	0	1
attC	K11077	NA	3.A.1.11.3	mannopine transport system substrate-binding protein	NA	304.8	0.959	0.9206	1	0	0.0794	1
attA2	K11079	NA	3.A.1.11.3	mannopine transport system permease protein	NA	369.4	0.932	0.8732	1	0	0.1268	1
bceA	K11631	NA	3.A.1.134.3	bacitracin transport system ATP-binding protein	NA	412.2	0.976	0.97596	1	6.3e-07	0.02404	1
bceB	K11632	NA	3.A.1.134.3	bacitracin transport system permease protein	NA	684.2	0.99	0.99043	1	2.52e-07	0.00957	1
bcrA	K19309	NA	3.A.1.131.1	bacitracin transport system ATP-binding protein	NA	418.9	0.94198	0.91391	1	5.04e-07	0.08609	0.999998
bcrB	K19310	NA	3.A.1.131.1	bacitracin transport system permease protein	NA	135.5	0.92	0.91975	1	1.64e-06	0.08025	1
benE	K05782	NA	2.A.46.1	benzoate membrane transport protein	NA	52.1	1	1	1	0	0	1
bglEIIA	K02755	2.7.1.69	NA	PTS system, beta-glucosides-specific IIA component [EC:2.7.1.69]	NA	107.1	0.481089	0.7231	1	0.000284	0.2769	0.999655
bglEIIB	K02756	2.7.1.69	NA	PTS system, beta-glucosides-specific IIB component [EC:2.7.1.69]	NA	611.4	0.90234	0.83778	1	4.16e-06	0.162225	0.999961
bglEIIC	K02757	NA	4.A.1.2.11_P40739;4.A.1.2.14_ART98499;4.A.1.2.15_ART98417;4.A.1.2.2_P08722;4.A.1.2.5_Q8GGK3	PTS system, beta-glucosides-specific IIC component	NA	594.3	0.903581	0.85466	1	8.06e-06	0.145339	0.99996
bglH	K10124	NA	1.B.3.1.3_P26218	carbohydrate-specific outer membrane porin	NA	322.9	0.997	0.9946	1	0	0.00538	1
bgtB	K17062	NA	3.A.1.3.12_P73544;3.A.1.3.17_Q8YSA2	arginine/lysine/histidine/glutamine transport system substrate-binding and permease protein	NA	692.4	1	1	1	0	0	1
bgtA	K17063	3.6.3.-	3.A.1.3.12_P73721	arginine/lysine/histidine/glutamine transport system ATP-binding protein [EC:3.6.3.-]	NA	446.8	1	1	1	0	0	1
bica	K07552	NA	2.A.1.2.7_P28246	MFS transporter, DHA1 family, bicyclomycin/chloramphenicol resistance protein	NA	292.7	0.951098	0.932651	1	1.51e-05	0.067349	0.999949
bioY	K03523	NA	3.A.1.25.5_Q9WZQ6;3.A.1.25.7_D5ARG8	biotin transport system substrate-specific component	NA	45.4	0.999218	0.999609	1	3.78e-07	0.000391	0.999999
bioN	K16783	NA	3.A.1.25.7_D5ARG9;3.A.1.25.1	biotin transport system permease protein	NA	179.2	0.844749	0.74297	1	1.01e-06	0.25703	1
bioM	K16784	3.6.3.-	3.A.1.25.7_D5ARH0;3.A.1.25.1	biotin transport system ATP-binding protein [EC:3.6.3.-]	NA	302.2	0.29412	0.51971	1	0.000142	0.48029	1
ecfT	K16785	NA	3.A.1.29.1_Q74I61;3.A.1.25.5_Q9X2I1;3.A.1.25.6_Q5M245;3.A.1.26.10_I7BV49;3.A.1.32.1_Q9KXJ7;3.A.1.32.2_Q2NFA7;3.A.1.32.3_A9WJX6;3.A.1.33.1_Q8R9L9	energy-coupling factor transport system permease protein	NA	111	0.856662	0.845506	1	6.34e-05	0.15449	0.99986
ecfA1	K16786	3.6.3.-	3.A.1.25.5_Q9X1Z1;3.A.1.25.6_Q5M243;3.A.1.26.10_Q839D5	energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]	NA	342.6	0.704344	0.582389	1	3.49e-05	0.417611	0.999761
ecfA2	K16787	7.-.-.-	NA	energy-coupling factor transport system ATP-binding protein [EC:7.-.-.-]	NA	382.4	0.673889	0.546653	1	3.69e-05	0.453347	0.999742
blpA	K20344	NA	3.A.1.112	ATP-binding cassette, subfamily C, bacteriocin exporter	NA	783	0.781	0.7193	1	5.29e-06	0.2807	1
bpeE	K18901	NA	2.A.6.2	membrane fusion protein, multidrug efflux system	NA	475.3	0.953	0.91268	1	1.26e-07	0.08732	1
bpeF	K18902	NA	2.A.6.2	multidrug efflux pump	NA	1853.7	0.98	0.96056	1	0	0.03944	1
oprC	K18903	NA	1.B.17.3.3	outer membrane protein, multidrug efflux system	NA	480.3	0.975332	0.95185	1	0	0.04815	0.999998
braD	K19083	NA	3.A.1.134	bacitracin transport system ATP-binding protein	NA	416.2	0.993	1	1	1.26e-07	0	1
braE	K19084	NA	3.A.1.134	bacitracin transport system permease protein	NA	509.7	0.993	1	1	1.26e-07	0	1
btuC	K06073	NA	3.A.1.13.1_P06609	vitamin B12 transport system permease protein	NA	364.2	0.988318	0.97917	1	1.26e-07	0.02083	1
btuD	K06074	3.6.3.33	3.A.1.13.1_P06611	vitamin B12 transport system ATP-binding protein [EC:3.6.3.33]	NA	249.9	0.979911	0.9843	1	1.39e-06	0.0157	1
btuF	K06858	NA	3.A.1.13.1_Q8ZRP7	vitamin B12 transport system substrate-binding protein	NA	302.6	0.860283	0.90579	1	1.52e-05	0.09421	1
btuB	K16092	NA	1.B.14.3.1_P06129	vitamin B12 transporter	NA	439.4	0.92417	0.864148	1	1.13e-06	0.135852	0.99997
bxlE	K17326	NA	3.A.1.1.21_Q9L027	xylobiose transport system substrate-binding protein	NA	553.1	1	1	1	0	0	1
bxlF	K17327	NA	3.A.1.1.21_Q9L026	xylobiose transport system permease protein	NA	437.2	1	1	1	0	0	1
bxlG	K17328	NA	3.A.1.1.21	xylobiose transport system permease protein	NA	403.8	0.968	0.938	1	0	0.0625	1
cbiM	K02007	NA	3.A.1.18;3.A.1.22;3.A.1.23	cobalt/nickel transport system permease protein	NA	28.9	0.998917	0.999277	1	2.52e-07	0.000723	1
cbiN	K02009	NA	3.A.1.18	cobalt/nickel transport protein	NA	21.7	0.825248	0.759846	1	1.07e-05	0.24	0.999958
cbiO	K02006	NA	3.A.1.18;3.A.1.22;3.A.1.23	cobalt/nickel transport system ATP-binding protein	NA	316.1	0.267211	0.518882	1	0.000394	0.481118	0.999526
cbiQ	K02008	NA	3.A.1.18;3.A.1.22;3.A.1.23	cobalt/nickel transport system permease protein	NA	149.1	0.888247	0.803132	1	8.81e-07	0.19687	0.999966
cbiK	K10094	NA	3.A.1.22	nickel transport protein	NA	132.5	1	1	1	0	0	1
cbiL	K16915	NA	NA	nickel transport protein	NA	87.6	0.852	0.88194	1	6.8e-06	0.11806	1
ccmD	K02196	NA	3.A.1.107	heme exporter protein D	NA	22.3	0.99834	0.99917	1	3.78e-07	0.000831	0.999999
ccmB	K02194	NA	3.A.1.107	heme exporter protein B	NA	53.7	0.996403	0.994019	1	2.52e-07	0.005981	0.999998
ccmC	K02195	NA	3.A.1.107	heme exporter protein C	NA	40.1	1	1	1	0	0	1
ccmA	K02193	3.6.3.41	3.A.1.107	heme exporter protein A [EC:3.6.3.41]	NA	229.4	0.497868	0.656055	1	0.000198	0.343945	0.999733
cebE	K10240	NA	3.A.1.1.23_Q9X9R7	cellobiose transport system substrate-binding protein	NA	340.2	0.997	0.99675	1	1.26e-07	0.00325	1
cebF	K10241	NA	3.A.1.1.23_Q9X9R6	cellobiose transport system permease protein	NA	344.8	0.977	0.96417	1	3.78e-07	0.03583	1
cebG	K10242	NA	3.A.1.1.23_Q9X9R5	cellobiose transport system permease protein	NA	329.9	0.989	0.9873	1	3.78e-07	0.0127	1
celEIIA	K02759	2.7.1.69	4.A.3.2.1_P69791;4.A.3.2.3_O50981;4.A.3.2.6_Q9KSH3;4.A.3.2.7_C4X746;4.A.3.2.9_U5MLJ3;4.A.3.2.2_P46319	PTS system, cellobiose-specific IIA component [EC:2.7.1.69]	NA	34.7	0.943971	1	1	3.56e-05	0	1
celEIIB	K02760	2.7.1.69	4.A.3.2.1_P69795;4.A.3.2.3_O50982;4.A.3.2.5_Q8L3C3;4.A.3.2.6_Q9KSH5;4.A.3.2.7_C4X744;4.A.3.2.9_U5MIE1;4.A.3.2.2_P46318	PTS system, cellobiose-specific IIB component [EC:2.7.1.69]	NA	57.4	0.99452	0.993068	1	1.39e-06	0.006932	0.999996
celEIIC	K02761	NA	4.A.3.2.1_P17334;4.A.3.2.3_O50980;4.A.3.2.5_Q8L3C2;4.A.3.2.6_Q9KSH4;4.A.3.2.7_C4X745;4.A.3.2.9_U5MFA1;4.A.3.2.2_P46317	PTS system, cellobiose-specific IIC component	NA	53.2	0.961153	1	1	3.56e-05	0	0.999964
cfrA	K16089	NA	1.B.14.1.3_O54507;1.B.14.1.4_P17315	outer membrane receptor for ferrienterochelin and colicins	NA	515.4	0.802782	0.68125	1	2.9e-06	0.31875	0.999939
chaA	K07300	NA	2.A.19	Ca2+:H+ antiporter	NA	99.9	0.998542	0.997089	1	0	0.002911	0.999999
chiE	K17244	NA	3.A.1.1.40_Q9WZR7	putative chitobiose transport system substrate-binding protein	NA	378.5	0.997	0.99351	1	0	0.00649	1
chiF	K17245	NA	3.A.1.1.40	putative chitobiose transport system permease protein	NA	356.5	0.989967	0.98013	1	0	0.01987	1
chiG	K17246	NA	3.A.1.1.40	putative chitobiose transport system permease protein	NA	329.5	0.976898	0.95484	1	0	0.04516	1
chrA	K07240	NA	2.A.51.1	chromate transporter	NA	27.1	0.999726	0.999452	1	0	0.000548	1
citA	K03288	NA	2.A.1.6.1_P16482;2.A.1.6.7_P0A2G3	MFS transporter, MHS family, citrate/tricarballylate:H+ symporter	NA	677.3	0.991	0.98123	1	0	0.01877	0.999999
citT	K09477	NA	2.A.47.3.2_P0AE74	citrate:succinate antiporter	NA	791.6	0.961	0.9249	1	0	0.0751	1
cmlA	K18552	NA	2.A.1.2.3_P32482	MFS transporter, DHA1 family, florfenicol/chloramphenicol resistance protein	NA	360	0.973	0.9467	1	0	0.0533	1
cmpB	K11951	NA	3.A.1.16.3	bicarbonate transport system permease protein	NA	442.1	0.991	0.9818	1	0	0.0182	1
cmpA	K11950	NA	3.A.1.16.3	bicarbonate transport system substrate-binding protein	NA	700.1	0.991	0.9821	1	0	0.0179	1
cmpC	K11952	3.6.3.-	3.A.1.16.3	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]	NA	1194.2	0.991	0.9825	1	0	0.0175	1
cmpD	K11953	3.6.3.-	3.A.1.16.3	bicarbonate transport system ATP-binding protein [EC:3.6.3.-]	NA	482.5	0.61	0.942	1	9.95e-06	0.058	1
codB	K10974	NA	2.A.39.1.1_P0AA82	cytosine permease	NA	218.2	0.98671	0.97824	1	5.04e-07	0.02176	1
corA	K03284	NA	1.A.35.1;1.A.35.3	magnesium transporter	NA	159.7	0.969353	0.952266	1	7.18e-06	0.047734	0.999965
cusA	K07787	NA	2.A.6.1.4	Cu(I)/Ag(I) efflux system membrane protein CusA/SilA	NA	1155.4	0.979132	0.959117	1	0	0.040883	0.999994
cusC	K07796	NA	1.B.17.3.4;1.B.17.3.5	outer membrane protein, Cu(I)/Ag(I) efflux system	NA	608.4	0.995	0.9898	1	0	0.0102	1
cycA	K11737	NA	2.A.3.1.17_M1IW84;2.A.3.1.7_P0AAE0	D-serine/D-alanine/glycine transporter	NA	663	0.979777	0.965826	1	8.81e-07	0.034174	0.999994
cydC	K16012	NA	3.A.1.129.1_P23886	ATP-binding cassette, subfamily C, bacterial CydC	NA	419.8	0.842798	0.95105	1	7e-05	0.04895	0.999919
cydD	K16013	NA	3.A.1.129.1_P29018	ATP-binding cassette, subfamily C, bacterial CydD	NA	442.3	0.860963	0.983343	1	6.83e-05	0.01666	0.999928
cydCD	K16014	NA	3.A.1.129	ATP-binding cassette, subfamily C, bacterial CydCD	NA	974.4	0.937	0.88571	1	1.26e-07	0.11429	0.999997
sbp	K23163	NA	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	sulfate/thiosulfate transport system substrate-binding protein 	NA	470.9	0.858724	0.772964	1	7.93e-06	0.227036	0.999926
cysU	K02046	NA	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	sulfate transport system permease protein	NA	272	0.999712	0.999425	1	0	0.000575	1
cysA	K02045	7.3.2.3	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	sulfate/thiosulfate transport system ATP-binding protein [EC:7.3.2.3]	NA	392.8	0.98447	0.97	1	1.26e-07	0.03	0.99999
cysW	K02047	NA	3.A.1.6.1;3.A.1.6.3;3.A.1.6.7	sulfate transport system permease protein	NA	259.5	0.998275	0.996556	1	0	0.003444	0.999999
cysP	K02048	NA	3.A.1.6.1;3.A.1.6.3	sulfate transport system substrate-binding protein	NA	88.6	0.876197	0.999603	1	8.94e-05	0.000397	0.99991
czcA	K15726	NA	2.A.6.1.2	cobalt-zinc-cadmium resistance protein CzcA	NA	1149.6	0.983971	0.97141	1	7.56e-07	0.02859	0.999992
czcC	K15725	NA	1.B.17.2.2	outer membrane protein, cobalt-zinc-cadmium efflux system	NA	203.2	0.974048	0.94941	1	0	0.05059	0.999992
czcD	K16264	NA	2.A.4.1	cobalt-zinc-cadmium efflux system protein	NA	131	0.994995	0.990698	1	2.52e-07	0.009302	0.999996
dasC	K17331	NA	3.A.1.1.33_Q8KN17	N,N'-diacetylchitobiose transport system permease protein	NA	332.1	0.983	0.96596	1	0	0.03404	1
dasB	K17330	NA	3.A.1.1.33_Q8KN18	N,N'-diacetylchitobiose transport system permease protein	NA	310.9	0.978	0.96104	1	1.26e-07	0.03896	1
dasA	K17329	NA	3.A.1.1.33_Q8KN19	N,N'-diacetylchitobiose transport system substrate-binding protein	NA	287.4	0.996	0.99245	1	0	0.00755	1
dctQ	K11689	NA	2.A.56.1.1_O07837	C4-dicarboxylate transporter, DctQ subunit	NA	133.4	0.984431	0.99275	1	1.26e-06	0.00725	1
dctP	K11688	NA	2.A.56.1.1_P37735	C4-dicarboxylate-binding protein DctP	NA	356.3	0.964593	0.9333	1	1.26e-07	0.06667	1
dctM	K11690	NA	2.A.56.1.1_O07838	C4-dicarboxylate transporter, DctM subunit	NA	501.5	0.936073	0.88553	1	3.78e-07	0.11447	1
dctA	K11103	NA	2.A.23.1.10_Q848I3;2.A.23.1.3_Q01857;2.A.23.1.6_P96603;2.A.23.1.9_Q1J1H5	aerobic C4-dicarboxylate transport protein	NA	481.9	0.982409	0.966696	1	3.78e-07	0.033304	0.99999
dcuA	K07791	NA	2.A.13.1.1_P0ABN5;2.A.13.1.3_Q8ZLD2;2.A.13.1.4_K0K2U6	anaerobic C4-dicarboxylate transporter DcuA	NA	575.2	0.916816	0.84828	1	2.52e-07	0.15172	0.999982
dcuB	K07792	NA	2.A.13.1.2_P0ABN9;2.A.13.1.3_Q8ZLD2;2.A.13.1.4_K0K2U6	anaerobic C4-dicarboxylate transporter DcuB	NA	587.2	0.955764	0.9165	1	1.26e-07	0.08355	1
dcuC	K03326	NA	2.A.61.1.1_P0ABP3;2.A.61.1.2_P45428	C4-dicarboxylate transporter, DcuC family	NA	81.6	1	1	1	0	0	1
devC	K02004	NA	3.A.1.114.1_O50295	putative ABC transport system permease protein	NA	52.7	0.808577	0.948838	0.999	0.00078	0.05116	0.99912
devA	K02003	NA	3.A.1.114.1_O50296	putative ABC transport system ATP-binding protein	NA	257.9	0.592642	0.788173	0.998	0.00166	0.211827	0.99794
devB	K02005	NA	3.A.1.114.1_Q7A2B0	HlyD family secretion protein	NA	231.9	0.58427	0.648667	1	0.000211	0.351333	0.99966
hgdD	K03287	NA	1.B.17.2.10_V5V5Z3;3.A.1.114.1_Q8YT39	outer membrane factor, OMF family	NA	351.3	0.889	0.8	1	0	0.2	1
dgaEIIA	K17464	2.7.1.69	4.A.6.1.17_D0ZLR7	PTS system, D-glucosaminate-specific IIA component [EC:2.7.1.69]	NA	129.5	0.987	0.99115	1	2.52e-07	0.00885	1
dgaEIIB	K17465	2.7.1.69	4.A.6.1.17_D0ZLR6	PTS system, D-glucosaminate-specific IIB component [EC:2.7.1.69]	NA	196.5	0.979	0.9583	1	0	0.04167	1
dgaEIIC	K17466	NA	4.A.6.1.17_D0ZLR5	PTS system, D-glucosaminate-specific IIC component	NA	282.4	0.996	0.991	1	0	0.00855	1
dgaEIID	K17467	NA	4.A.6.1.17_D0ZLR4	PTS system, D-glucosaminate-specific IID component	NA	361.9	0.969	0.94	1	0	0.06034	1
dglEIIA	K02763	2.7.1.69	4.A.1.1.6	PTS system, D-glucosamine-specific IIA component [EC:2.7.1.69]	NA	796.6	0.973	0.947	1	0	0.0526	1
dglEIIB	K02764	2.7.1.69	4.A.1.1.6	PTS system, D-glucosamine-specific IIB component [EC:2.7.1.69]	NA	796.6	0.973	0.947	1	0	0.0526	1
dglEIIC	K02765	NA	4.A.1.1.13_Q57071;4.A.1.1.14_Q53922;4.A.1.1.6_P39816;4.A.1.1.9_P20166	PTS system, D-glucosamine-specific IIC component	NA	876.2	0.081	1	1	4.86e-05	0	1
dltB	K03739	NA	2.A.50.2.1_P39580	membrane protein involved in D-alanine export	NA	223.5	0.995938	0.99191	1	0	0.00809	1
dppA1	K12368	NA	3.A.1.5.39_W0WJ85;3.A.1.5.39_W0WKZ8;3.A.1.5.39_W0WL02;3.A.1.5.39_W0WLZ1;3.A.1.5.39_W0WQF0	dipeptide transport system substrate-binding protein	NA	742.9	0.938761	0.89575	1	2.39e-06	0.10425	0.99998
dppB1	K12369	NA	3.A.1.5.39_W0WN20	dipeptide transport system permease protein	NA	488.2	0.992774	0.98674	1	1.26e-07	0.01326	0.999998
dppC1	K12370	NA	3.A.1.5.39_W0WMS8	dipeptide transport system permease protein	NA	402.4	0.98938	0.98224	1	3.78e-07	0.01776	0.999998
dppD1	K12371	NA	3.A.1.5.39_W0WJ90	dipeptide transport system ATP-binding protein	NA	535.7	0.238425	0.75346	1	0.000499	0.24654	0.999474
dppF1	K12372	NA	3.A.1.5.39_W0WLZ8	dipeptide transport system ATP-binding protein	NA	567.4	0.35915	0.5321	1	0.00016	0.46794	0.999787
dppB2	K16200	NA	3.A.1.5.2_P26903	dipeptide transport system permease protein	NA	517.1	1	1	1	0	0	1
dppC2	K16201	NA	3.A.1.5.2_P26904	dipeptide transport system permease protein	NA	507.2	0.978	0.9565	1	0	0.0435	1
dppD2	K16202	NA	3.A.1.5.2_P26905	dipeptide transport system ATP-binding protein	NA	598.7	0.104	0.8222	1	0.000159	0.1778	1
dppE	K16199	NA	3.A.1.5.2_P26906	dipeptide transport system substrate-binding protein	NA	790.7	1	1	1	0	0	1
dsdX	K13629	NA	2.A.8.1.5_P08555	D-serine transporter	NA	485.6	0.982	0.9688	1	1.26e-07	0.03125	1
eamA	K15268	NA	2.A.7.3.2_P31125	O-acetylserine/cysteine efflux transporter	NA	134.5	0.993988	0.99399	1	7.56e-07	0.00601	0.999998
eamB	K11249	NA	2.A.76.1.4_P38101	cysteine/O-acetylserine efflux protein	NA	119.3	0.995	0.98958	1	0	0.01042	1
ebrA	K11814	NA	2.A.7.1.6	multidrug resistance protein EbrA	NA	142.6	0.938	0.8831	1	0	0.1169	1
ebrB	K11815	NA	2.A.7.1.6	multidrug resistance protein EbrB	NA	158.2	0.974	0.9487	1	0	0.0513	1
ebr	K18975	NA	2.A.7.1.11	small multidrug resistance pump	NA	210.3	1	1	1	0	0	1
eexD	K16299	NA	3.A.1.110.13_O67184;3.A.1.110.10	ATP-binding cassette, subfamily C, bacterial EexD	NA	846.5	0.848	0.7368	1	0	0.2632	1
efeB	K16301	1.11.1.-	2.A.108.2.3	deferrochelatase/peroxidase EfeB [EC:1.11.1.-]	NA	438.2	0.979006	0.95887	1	0	0.04113	0.999995
efeO	K07224	NA	2.A.108.2.3	iron uptake system component EfeO	NA	53.4	0.980186	1	1	4.28e-06	0	0.999996
emrK	K03543	NA	2.A.1.3.36_C5W790	membrane fusion protein, multidrug efflux system	NA	268.1	0.969534	0.966027	1	1.07e-05	0.033973	1
emrY	K03446	NA	2.A.1.3.20_Q9RQ29;2.A.1.3.36_C5W789	MFS transporter, DHA2 family, multidrug resistance protein	NA	333.2	0.972948	0.972645	1	1.08e-05	0.027355	0.999978
entS	K08225	NA	2.A.1.38.1_P24077	MFS transporter, ENTS family, enterobactin (siderophore) exporter	NA	194.4	0.996	0.9912	1	0	0.00882	1
epsE	K16712	NA	2.A.66.2.11_Q45411	EPS I polysaccharide export inner membrane protein EpsE	NA	935.8	1	1	1	0	0	1
epsF	K16713	NA	NA	EPS I polysaccharide export inner membrane protein EpsF	NA	877.2	1	1	1	0	0	1
eryG	K17202	NA	3.A.1.2.11_Q92WK4;3.A.1.2.16_Q1M4Q9	erythritol transport system substrate-binding protein	NA	385.6	0.987	0.97674	1	1.26e-07	0.0233	1
eryF	K17203	NA	3.A.1.2.11_Q92WK1;3.A.1.2.16_Q1M4Q8	erythritol transport system permease protein	NA	378.9	0.985	0.97342	1	1.26e-07	0.02658	1
eryE	K17204	NA	3.A.1.2.11_Q92WK2;3.A.1.2.16_Q1M4Q7	erythritol transport system ATP-binding protein	NA	645.5	0.997	1	1	2.52e-07	0	1
exbB	K03561	NA	1.A.30.2.1	biopolymer transport protein ExbB	NA	50.1	0.82182	0.996677	1	0.00026	0.00332	0.999738
exbD	K03559	NA	1.A.30.2.1	biopolymer transport protein ExbD	NA	24.2	0.82394	0.99959	1	0.000262	0.00041	0.999738
exoT	K16553	NA	2.A.66.2.2	succinoglycan exporter	NA	875.3	1	1	1	0	0	1
fadL	K06076	1.B.9	NA	long-chain fatty acid transport protein	NA	48.6	0.99975	0.999499	1	0	0.000501	1
fdhC	K21993	NA	1.A.16.2	formate transporter	NA	278.4	0.933576	0.88296	1	6.3e-07	0.11704	1
fecE	K23184	7.2.2.18	3.A.1.14.1;3.A.1.14.8	ferric citrate transport system ATP-binding protein [EC:7.2.2.18]	NA	370.7	0.915	0.873	1	1.01e-06	0.12719	1
fecB	K23181	NA	3.A.1.14.1;3.A.1.14.8	ferric citrate transport system substrate-binding protein	NA	351.9	0.97	0.9452	1	1.26e-07	0.05476	1
fecD	K23182	NA	3.A.1.14.1;3.A.1.14.8	ferric citrate transport system permease protein	NA	404.6	0.594	0.87209	1	4.61e-05	0.12791	1
fecC	K23183	NA	3.A.1.14.1;3.A.1.14.8	ferric citrate transport system permease protein	NA	397.8	0.626	0.8187	1	3.44e-05	0.18129	0.999958
fecA	K16091	NA	1.B.14.1.12_Q9HXB2;1.B.14.1.20_P13036	Fe(3+) dicitrate transport protein	NA	306.8	0.988934	0.98037	1	2.52e-07	0.01963	0.999998
fepC	K23188	NA	3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system ATP-binding protein	NA	440.1	0.939704	0.9097	1	1.51e-06	0.09031	1
fepG	K23187	NA	3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system permease protein	NA	422.8	0.947368	0.94062	1	2.39e-06	0.05938	0.999994
fepD	K23186	NA	3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system permease protein	NA	465.4	0.921087	0.8558	1	1.26e-07	0.14423	1
fepB	K23185	NA	3.A.1.14.2;3.A.1.14.6	ferric enterobactin transport system substrate-binding protein	NA	324.6	0.975401	0.98488	1	2.01e-06	0.01512	1
fepA	K19611	NA	1.B.14.1.22_P05825;1.B.14.1.3_O54507;1.B.14.1.5_Q05098	ferric enterobactin receptor	NA	519.2	0.989583	0.98083	1	1.26e-07	0.01917	1
fevA	K02013	3.6.3.34	3.A.1.13.2_A9WCZ7;3.A.1.14.13_Q9RK11;3.A.1.14.14_Q9A197;3.A.1.14.1_P15031;3.A.1.14.2_P23878;3.A.1.14.3_P07821;3.A.1.14.4_Q47087;3.A.1.14.6_Q9RCF3;3.A.1.14.7_Q9X665;3.A.1.14.8_Q8GRB0	iron complex transport system ATP-binding protein [EC:3.6.3.34]	NA	251.1	0.549585	0.778	0.998	0.00158	0.222	0.9981
